_id,pc_name,eiin,school_name,pc_id,lab_id,video_name,location,pl_start,start_date_time,pl_end,end_date_time,duration
"647c41f6ae12ef81cb1af46e","localhost",45,"ullahpara school",12,33,"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","5/17/2023, 12:59:35 PM","7.502926","5/17/2023, 12:59:42 PM","7.502926"
"647c41f6ae12ef81cb1af480","localhost",45,"ullahpara school",12,33,"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","5/17/2023, 12:59:35 PM","7.502926","5/17/2023, 12:59:42 PM","7.502926"
"647c41f6ae12ef81cb1af47e","localhost",45,"ullahpara school",12,33,"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","5/17/2023, 12:59:35 PM","7.502926","5/17/2023, 12:59:42 PM","7.502926"
"647c41f6ae12ef81cb1af47c","localhost",45,"ullahpara school",12,33,"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","5/17/2023, 12:59:35 PM","7.502926","5/17/2023, 12:59:42 PM","7.502926"
"647c41f6ae12ef81cb1af472","localhost",45,"ullahpara school",12,33,"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","5/17/2023, 12:59:35 PM","7.502926","5/17/2023, 12:59:42 PM","7.502926"
"647c41f6ae12ef81cb1af470","localhost",45,"ullahpara school",12,33,"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","5/17/2023, 12:59:35 PM","7.502926","5/17/2023, 12:59:42 PM","7.502926"
"647c41f6ae12ef81cb1af47a","localhost",45,"ullahpara school",12,33,"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","5/17/2023, 12:59:35 PM","7.502926","5/17/2023, 12:59:42 PM","7.502926"
"647c41f6ae12ef81cb1af478","localhost",45,"ullahpara school",12,33,"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","5/17/2023, 12:59:35 PM","7.502926","5/17/2023, 12:59:42 PM","7.502926"
"647c41f6ae12ef81cb1af474","localhost",45,"ullahpara school",12,33,"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","5/17/2023, 12:59:35 PM","7.502926","5/17/2023, 12:59:42 PM","7.502926"
"647c41f6ae12ef81cb1af476","localhost",45,"ullahpara school",12,33,"Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","5/17/2023, 12:59:35 PM","7.502926","5/17/2023, 12:59:42 PM","7.502926"
